callsiteId,predicate,agree,disagree_permissive,disagree_restrictive,finite_violation,total_calls
__GLOBAL__,homogClip,42859586,3790,4331838,0,47195214
__GLOBAL__,legacyRectFinite,47195214,0,0,0,47195214
__GLOBAL__,rectGuard,47195214,0,0,0,47195214
__GLOBAL__,rectNearFar,42863376,0,4331838,0,47195214
__GLOBAL__,rectSignedW,42864555,0,4330659,0,47195214
<unknown>,homogClip,0,0,2331019,0,0
<unknown>,rectSignedW,0,0,2327229,0,0
picking_closest_cell_center,homogClip,0,0,27286,0,0
picking_closest_cell_center,rectSignedW,0,0,27286,0,0
picking_closest_vertex_fallback,homogClip,0,0,103438,0,0
picking_closest_vertex_fallback,rectSignedW,0,0,103438,0,0
terrain_cpu_vert_admit,homogClip,0,0,1672729,0,0
terrain_cpu_vert_admit,rectSignedW,0,0,1672657,0,0
terrain_quad_vert0_admit,homogClip,0,0,22087,0,0
terrain_quad_vert0_admit,rectSignedW,0,0,22066,0,0
terrain_quad_vert1_admit,homogClip,0,0,8235,0,0
terrain_quad_vert1_admit,rectSignedW,0,0,8235,0,0
terrain_quad_vert2_admit,homogClip,0,0,158608,0,0
terrain_quad_vert2_admit,rectSignedW,0,0,157544,0,0
terrain_quad_vert3_admit,homogClip,0,0,12226,0,0
terrain_quad_vert3_admit,rectSignedW,0,0,12204,0,0
