callsiteId,predicate,agree,disagree_permissive,disagree_restrictive,finite_violation,total_calls
picking_closest_cell_center,homogClip,551,0,3463,0,4014
picking_closest_cell_center,legacyRectFinite,4014,0,0,0,4014
picking_closest_cell_center,rectGuard,3563,451,0,0,4014
picking_closest_cell_center,rectNearFar,551,0,3463,0,4014
picking_closest_cell_center,rectSignedW,551,0,3463,0,4014
picking_closest_vertex_fallback,homogClip,171551,0,18449,0,190000
picking_closest_vertex_fallback,legacyRectFinite,190000,0,0,0,190000
picking_closest_vertex_fallback,rectGuard,188112,1888,0,0,190000
picking_closest_vertex_fallback,rectNearFar,171551,0,18449,0,190000
picking_closest_vertex_fallback,rectSignedW,171551,0,18449,0,190000
terrain_cpu_vert_admit,homogClip,1153979,0,673806,0,1827785
terrain_cpu_vert_admit,legacyRectFinite,1827785,0,0,0,1827785
terrain_cpu_vert_admit,rectGuard,1724599,103186,0,0,1827785
terrain_cpu_vert_admit,rectNearFar,1153979,0,673806,0,1827785
terrain_cpu_vert_admit,rectSignedW,1154117,0,673668,0,1827785
terrain_quad_vert0_admit,homogClip,7929,0,2342,0,10271
terrain_quad_vert0_admit,legacyRectFinite,10271,0,0,0,10271
terrain_quad_vert0_admit,rectGuard,10038,233,0,0,10271
terrain_quad_vert0_admit,rectNearFar,7929,0,2342,0,10271
terrain_quad_vert0_admit,rectSignedW,7950,0,2321,0,10271
terrain_quad_vert1_admit,homogClip,20067,0,5111,0,25178
terrain_quad_vert1_admit,legacyRectFinite,25178,0,0,0,25178
terrain_quad_vert1_admit,rectGuard,24587,591,0,0,25178
terrain_quad_vert1_admit,rectNearFar,20067,0,5111,0,25178
terrain_quad_vert1_admit,rectSignedW,20074,0,5104,0,25178
terrain_quad_vert2_admit,homogClip,376483,0,288823,0,665306
terrain_quad_vert2_admit,legacyRectFinite,665306,0,0,0,665306
terrain_quad_vert2_admit,rectGuard,632907,32399,0,0,665306
terrain_quad_vert2_admit,rectNearFar,376483,0,288823,0,665306
terrain_quad_vert2_admit,rectSignedW,378339,0,286967,0,665306
terrain_quad_vert3_admit,homogClip,28756,0,7397,0,36153
terrain_quad_vert3_admit,legacyRectFinite,36153,0,0,0,36153
terrain_quad_vert3_admit,rectGuard,35613,540,0,0,36153
terrain_quad_vert3_admit,rectNearFar,28756,0,7397,0,36153
terrain_quad_vert3_admit,rectSignedW,28778,0,7375,0,36153
unknown,homogClip,214871,0,1142917,0,1357788
unknown,legacyRectFinite,1357788,0,0,0,1357788
unknown,rectGuard,1312052,45736,0,0,1357788
unknown,rectNearFar,214871,0,1142917,0,1357788
unknown,rectSignedW,214871,0,1142917,0,1357788
